label,value,delta,direction,sub
Impressions,78100,,,Apr '26 GSC impressions
Clicks,496,,,Apr '26 GSC clicks
CTR,0.6351,,,Apr '26 average CTR
Avg. Position,9.82,,,Apr '26 average position
