source,sessions,engaged_sessions,total_users,new_users,views,share_pct,engaged_rate
chatgpt.com,1218,618,1131,621,1410,91.99,50.74
gemini.google.com,38,20,33,12,29,2.87,52.63
cn.bing.com,21,14,21,10,20,1.59,66.67
copilot.com,15,7,13,8,16,1.13,46.67
perplexity,13,4,13,11,14,0.98,30.77
claude.ai,9,4,8,6,8,0.68,44.44
copilot.microsoft.com,6,4,5,3,4,0.45,66.67
perplexity.ai,4,3,4,3,4,0.3,75.0
