month,impressions,clicks,ctr,position
Jul 2025,3208,112,3.49,
Aug 2025,3666,137,3.74,
Sep 2025,4045,174,4.3,
Oct 2025,4116,145,3.52,
Nov 2025,3867,117,3.03,
Dec 2025,3786,93,2.46,
Jan 2026,4007,107,2.67,
Feb 2026,3938,98,2.49,
Mar 2026,4319,85,1.97,
Apr 2026,4488,81,1.8,
