month,sessions,engaged_sessions,total_users,new_users,views
Apr 2025,26,10,25,11,28
May 2025,27,17,22,8,25
Jun 2025,33,22,31,13,36
Jul 2025,114,82,103,27,136
Aug 2025,79,20,76,59,91
Sep 2025,95,48,91,46,103
Oct 2025,66,37,63,26,64
Nov 2025,52,25,46,32,62
Dec 2025,102,47,101,56,128
Jan 2026,196,111,176,90,249
Feb 2026,166,74,157,96,182
Mar 2026,193,108,172,94,214
Apr 2026,175,73,165,116,187
