Date (Year Month),Page path and screen class,Session source,Views,Total users,New users,Sessions,Engaged sessions
Dec 2025,/pages/about-dtf-printer-usa,chatgpt.com,1,1,0,1,1
Sep 2025,/collections/heat-presses,cn.bing.com,1,1,1,1,1
Dec 2025,/blogs/blog,chatgpt.com,1,1,0,1,1
Sep 2025,/products/replacement-print-head-i3200,chatgpt.com,1,1,1,1,1
Sep 2025,/blogs/blog/dtf-printer-maintenance-checklist,copilot.microsoft.com,1,2,1,2,1
Sep 2025,/products/premium-single-matte-hot-peel-24x328-feet,chatgpt.com,1,1,0,1,1
Jan 2026,/products/12-inch-dtf-powder-shaker-dryer-with-air-purifier-for-small-production,chatgpt.com,1,1,0,1,1
Jan 2026,/products/12-inch-economical-dtf-powder-shaker-dryer-for-entry-level-production,chatgpt.com,1,1,0,1,1
Jan 2026,/products/dtf-white-ink-1-liter,chatgpt.com,1,2,0,2,1
Sep 2025,/products/dtf-transfer-premium-powder-1-kg,chatgpt.com,1,1,0,1,1
Jan 2026,/collections/all,chatgpt.com,1,1,0,1,1
Jan 2026,/products/a4-dtf-paper,chatgpt.com,1,1,0,2,1
Sep 2025,/collections/dtf-transfer-powders,chatgpt.com,1,1,0,1,1
Jan 2026,/search,chatgpt.com,1,1,0,1,1
Jan 2026,/products/dtfprinterusa-1-8m-oil-roller-heat-press-jc-26b-multifunction-sublimation-transfer,chatgpt.com,1,1,1,1,1
Jan 2026,/collections/cutter,chatgpt.com,1,1,0,1,1
Sep 2025,/blogs/blog,chatgpt.com,1,1,1,1,1
Jan 2026,/pages/about-us-2,chatgpt.com,1,1,0,1,1
Jan 2026,/products/single-matte-smart-peel-24x328-feet,chatgpt.com,1,1,0,1,1
Jan 2026,/products/ultra-premium-hot-peel-24x328-feet,chatgpt.com,1,1,0,1,1
Aug 2025,/blogs/blog/best-tshirts-for-dtf-printing-guide,chatgpt.com,1,1,1,1,1
Aug 2025,/blogs/news/best-heat-press-machines-for-all-your-needs-in-2025,perplexity.ai,1,1,1,1,1
Jan 2026,/collections/dtf-printers-and-dryers,claude.ai,1,1,1,2,1
Aug 2025,/products/replacement-ink-valve-connector,chatgpt.com,1,1,1,1,1
Jan 2026,/checkouts/cn/hWN8DDsQQqTEnJY0fW8YREOo/en/thank-you,chatgpt.com,1,1,0,1,1
Jan 2026,/products/dtf-moisturizing-liquid,chatgpt.com,1,1,1,1,1
Jan 2026,/products/replacement-white-and-color-damper,chatgpt.com,1,1,1,1,1
Feb 2026,/collections/cutter,chatgpt.com,1,1,0,1,1
Aug 2025,/collections/new-products,chatgpt.com,1,1,0,1,1
Feb 2026,/collections/dtf-inks-t-shirts-hats,chatgpt.com,1,1,0,1,1
Aug 2025,/collections/heat-presses,chatgpt.com,1,1,0,1,1
Aug 2025,/collections/dtf-film,chatgpt.com,1,1,0,1,1
Aug 2025,/blogs/blog/eco-friendly-dtf-printing-guide,chatgpt.com,1,1,0,1,1
Feb 2026,/products/dtf-printer-usa-dpu-dryer,chatgpt.com,1,1,1,1,1
Feb 2026,/pages/contact-us,chatgpt.com,1,1,0,1,1
Aug 2025,/pages/contact-us,gemini.google.com,1,1,0,2,1
Aug 2025,/collections/dtf-printers-and-dryers,gemini.google.com,1,1,0,1,1
Aug 2025,/blogs/blog,chatgpt.com,1,1,0,1,1
Jul 2025,/products/replacement-power-boxes-dtf,chatgpt.com,1,1,0,1,1
Feb 2026,/products/replacement-white-and-color-damper,chatgpt.com,1,1,1,1,1
Jul 2025,/collections/replacement-and-spare-parts,chatgpt.com,1,1,0,1,1
Feb 2026,/pages/tax-exemption,chatgpt.com,1,1,0,1,1
Feb 2026,/products/20x24-hydraulic-heat-press-4-platens-commercial-use,chatgpt.com,1,1,0,1,1
Jul 2025,/pages/contact-us,gemini.google.com,1,2,0,2,1
Jul 2025,/products/replacement-print-head-i3200,gemini.google.com,1,1,0,1,1
Feb 2026,/blogs/blog/profitable-dtf-pricing-models,chatgpt.com,1,1,1,1,1
Feb 2026,/products/12-inch-triple-head-uv-dtf-printer-small,copilot.com,1,1,0,1,1
Jul 2025,/products/hdh2022-hydraulic-head-moving-heat-press,gemini.google.com,1,1,0,1,1
Jul 2025,/products/dtf-transfer-fine-powder,gemini.google.com,1,1,0,1,1
Feb 2026,/products/6-head-15-needle-industrial-embroidery-machine embroidered patches,chatgpt.com,1,1,0,1,1
Mar 2026,/account,chatgpt.com,1,1,0,1,1
Mar 2026,/account/register,chatgpt.com,1,1,0,1,1
Jul 2025,/products/dtf-black-ink-1-liter,gemini.google.com,1,1,0,1,1
Mar 2026,/,perplexity,1,1,0,1,1
Mar 2026,/blogs/blog/best-heat-press-machines-for-all-your-needs-in-2025,perplexity,1,1,1,1,1
Mar 2026,/collections/heat-press-machines,perplexity,1,1,0,1,1
Jul 2025,/products/double-matte-smart-peel-12x328-feet,gemini.google.com,1,1,0,1,1
Mar 2026,/products/16x24-pneumatic-heat-press-machine-dual-platens,chatgpt.com,1,2,0,3,1
Mar 2026,/products/24-inch-dtf-powder-shaker-dryer-high-power,chatgpt.com,1,1,0,1,1
Mar 2026,/products/replacement-dryer-ic-board-version-1-4,chatgpt.com,1,1,0,1,1
Mar 2026,/checkouts/cn/hWN9HoQtcmVZN7HTulcX3exW/en-us/thank-you,chatgpt.com,1,1,0,1,1
Jul 2025,/blogs/blog/dtf-printing-gear-diy-convert-vs-dedicated-settings-guide,gemini.google.com,1,1,0,1,1
Mar 2026,/blogs/blog/best-dtf-ink,chatgpt.com,1,1,1,1,1
Mar 2026,/blogs/blog/real-cost-of-dtf-printer-guide,chatgpt.com,1,1,1,1,1
Mar 2026,/collections/replacement-and-spare-parts,chatgpt.com,1,1,0,1,1
Jul 2025,/products/uv-dtf-printer-usa-black-ink-1-liter,chatgpt.com,1,1,0,1,1
Mar 2026,/pages/set-up-service,chatgpt.com,1,1,0,1,1
Jul 2025,/products/uv-dtf-film-a-b-30,chatgpt.com,1,1,1,1,1
Jul 2025,/products/uv-dpu24-4-printer-24-copy,chatgpt.com,1,1,0,1,1
Jul 2025,/products/dtfprinterusa-uv-flatbed-inkjet-printer-epson-i3200-head-multicolor-printing,chatgpt.com,1,1,0,1,1
Mar 2026,/products/uv-dtf-printer-usa-cyan-ink-1-liter,chatgpt.com,1,1,0,1,1
Mar 2026,/,copilot.com,1,1,1,1,1
Mar 2026,/products/single-head-15-needle-embroidery-machine-cap-support,copilot.com,1,1,0,1,1
Mar 2026,/collections/heat-presses,chatgpt.com,1,1,0,1,1
Jul 2025,/products/ultra-premium-hot-peel-dtf-film-24-inch,chatgpt.com,1,1,0,1,1
Mar 2026,/products/dtf-printer-24-inch-4-i3200-9-color-fluorescent,chatgpt.com,1,1,0,1,1
Mar 2026,/collections/24-inch-dtf-printers,chatgpt.com,1,1,1,1,1
Mar 2026,/collections/dtf-dryers,chatgpt.com,1,1,0,1,1
Jul 2025,/products/ultra-premium-hot-peel-24x328-feet,chatgpt.com,1,1,0,1,1
Mar 2026,/collections/heat-press-machines,chatgpt.com,1,1,0,1,1
Jul 2025,/products/premium-double-matte-hot-peel-24x328-feet,chatgpt.com,1,1,0,1,1
Mar 2026,/blogs/blog/dtf-film-transfer-process-explained-from-printing-to-heat-pressing,chatgpt.com,1,1,0,1,1
Mar 2026,/blogs/blog/future-of-dtf-printing-2030,chatgpt.com,1,1,0,1,1
Mar 2026,/collections/dtf-inks,chatgpt.com,1,1,0,1,1
Mar 2026,/collections/uv-inks-t-shirts-hats,chatgpt.com,1,1,0,1,1
Jul 2025,/products/dtf-yellow-ink-1-liter,chatgpt.com,1,1,0,1,1
Mar 2026,/collections/uv-dtf-printer,cn.bing.com,1,1,1,1,1
Mar 2026,/pages/about-dtf-printer-usa,cn.bing.com,1,1,0,1,1
Mar 2026,/products/24-inch-uv-printer-3-epson-i3200-printheads,cn.bing.com,1,1,0,1,1
Jul 2025,/products/dtf-transfer-medium-powder-1-kg,chatgpt.com,1,1,0,1,1
Apr 2026,/collections/dtf-inks-t-shirts-hats,chatgpt.com,1,1,0,1,1
Apr 2026,/products/60x90cm-uv-flatbed-printer-3-epson-i3200-printheads,gemini.google.com,1,1,1,1,1
Apr 2026,/products/24x32-hydraulic-heat-press-machine-large-format,perplexity.ai,1,1,1,1,1
Jul 2025,/products/dtf-transfer-magenta-ink-1l,chatgpt.com,1,1,0,1,1
Jul 2025,/products/dtf-cyan-ink-1-liter,chatgpt.com,1,1,0,1,1
Apr 2026,/products/replacement-white-ink-filter,chatgpt.com,1,1,1,1,1
Jul 2025,/products/double-matte-smart-peel-dtf-film-12-inch,chatgpt.com,1,1,0,1,1
Jul 2025,/products/a4-dtf-paper,chatgpt.com,1,1,0,1,1
Jul 2025,/products/a3-dtf-paper,chatgpt.com,1,1,0,1,1
Apr 2026,/pages/contact-us,chatgpt.com,1,1,0,1,1
Apr 2026,/products/dtf-strong-cleaning-solution,chatgpt.com,1,1,1,1,1
Jul 2025,/collections/dtf-printer,chatgpt.com,1,1,0,1,1
Apr 2026,/blogs/blog/perfect-heat-transfer-sizes-for-every-t-shirt,claude.ai,1,1,0,1,1
Apr 2026,/collections/dtf-inks,chatgpt.com,1,1,0,1,1
Apr 2026,/,copilot.com,1,1,1,1,1
Apr 2026,/collections/dtf-printer,copilot.com,1,1,0,2,1
Apr 2026,/account,chatgpt.com,1,1,0,1,1
Apr 2026,/account/addresses,chatgpt.com,1,1,0,1,1
Apr 2026,/account/register,chatgpt.com,1,1,0,1,1
Jul 2025,/collections/all-products,chatgpt.com,1,1,0,1,1
Oct 2025,/checkouts/cn/b615f880ee541e615a439044f30feebe/thank_you,chatgpt.com,1,2,0,2,1
Jul 2025,/products/dpu24-4-head-dtf-printer-24,copilot.microsoft.com,1,1,1,2,1
Apr 2026,/products/24-inch-fluorescent-dtf-printer-4-epson-i3200,chatgpt.com,1,1,1,1,1
Apr 2026,/collections/dtf-printer,gemini.google.com,1,1,0,1,1
Apr 2026,/checkouts/cn/hWNBYOvJlSSHj8uPcAxmrtdx/en-us,chatgpt.com,1,1,0,1,1
Apr 2026,/checkouts/cn/hWNBYOvJlSSHj8uPcAxmrtdx/en-us/thank-you,chatgpt.com,1,1,0,1,1
Apr 2026,/products/4-head-15-needle-commercial-embroidery-machine,chatgpt.com,1,1,0,1,1
Apr 2026,/collections/heat-press-machines,chatgpt.com,1,1,0,1,1
Jul 2025,/pages/contact-us,cn.bing.com,1,1,0,1,1
Apr 2025,/pages/about-dtf-printer-usa,chatgpt.com,1,1,1,1,0
Apr 2025,/collections/replacement-and-spare-parts,chatgpt.com,1,2,1,2,0
Jul 2025,/checkouts/cn/2a3fcf96a62c242a466db84260e8a369/thank_you,chatgpt.com,1,1,0,1,1
May 2025,/products/replacement-dtf-small-wheel-motor,chatgpt.com,1,1,1,1,0
May 2025,/products/uv-dpu24-4-printer-24-copy,chatgpt.com,1,1,1,1,0
May 2025,/collections/heat-presses,cn.bing.com,1,1,1,1,0
Jun 2025,/products/hdh2022-hydraulic-head-moving-heat-press,chatgpt.com,1,1,1,1,0
Jun 2025,/,gemini.google.com,1,1,1,1,0
Jul 2025,/products/hdh2022-hydraulic-head-moving-heat-press,chatgpt.com,1,1,1,1,0
Jun 2025,/blogs/blog,chatgpt.com,1,1,0,1,1
Jul 2025,/blogs/news/the-ultimate-guide-to-dtf-printers,cn.bing.com,1,1,1,1,0
Jul 2025,/blogs/news/best-heat-press-machines-for-all-your-needs-in-2025,gemini.google.com,1,1,1,1,0
Jun 2025,/search,chatgpt.com,1,1,0,1,1
Aug 2025,/pages/contact-us,chatgpt.com,1,1,0,1,0
Aug 2025,/products/dtfprinterusa-a3-dtf-printer-model-300b-dual-epson-printheads-cmyk-w,chatgpt.com,1,1,1,1,0
Aug 2025,/products/replacement-white-ink-circulation-shunt,chatgpt.com,1,1,1,1,0
Aug 2025,/products/dpu24-4-head-dtf-printer-24,chatgpt.com,1,1,1,1,0
Aug 2025,/blogs/news/what-is-the-best-dtf-printer-for-beginners,chatgpt.com,1,1,1,1,0
Aug 2025,/blogs/news/best-heat-press-machines-for-all-your-needs-in-2025,perplexity,1,1,1,1,0
Aug 2025,/products/dtf-powder-shaker-oven-60cm-professional-heat-powder-shaker-with-smoke-purifier,chatgpt.com,1,1,1,1,0
Aug 2025,/collections/uv-dtf-printer,chatgpt.com,1,1,1,1,0
Aug 2025,/products/replacement-3w-ink-pump,chatgpt.com,1,1,1,1,0
Sep 2025,/collections/heat-presses,chatgpt.com,1,1,1,1,0
Sep 2025,/products/dtfprinterusa-otterpro-all-in-one-automated-dtf-printer-42cm-16-5-print-width-dual-epson-i1600-a1-heads,chatgpt.com,1,1,1,1,0
Jun 2025,/products/replacement-y-shape-ink-tube-connector,chatgpt.com,1,1,0,1,1
Sep 2025,/blogs/news/what-is-the-best-dtf-printer-for-beginners-1,chatgpt.com,1,1,1,1,0
Sep 2025,/blogs/news/best-dtf-printers-for-small-businesses-a-comprehensive-guide,chatgpt.com,1,1,1,1,0
Jun 2025,/products/replacement-print-head-i3200,chatgpt.com,1,1,0,1,1
Sep 2025,/products/dtfprinterusa-1-8m-oil-roller-heat-press-jc-26b-multifunction-sublimation-transfer,chatgpt.com,1,1,1,1,0
Sep 2025,/products/dtf-transfer-fine-powder,chatgpt.com,1,1,1,1,0
Jun 2025,/products/replacement-horizontal-ink-stack-captop,chatgpt.com,1,1,0,1,1
Jun 2025,/collections/replacement-and-spare-parts-for-dryer,chatgpt.com,1,1,0,1,1
Sep 2025,/collections/dtf-printing-supplies-sale,chatgpt.com,1,1,1,1,0
Sep 2025,/products/a4-dtf-paper,chatgpt.com,1,1,1,1,0
Sep 2025,/products/dtfprinterusa-xf-450pro-a2-all-in-one-dtf-printer-dual-i1600-heads-16-print-width,chatgpt.com,1,1,1,1,0
Sep 2025,/products/dtfprinterusa-a3-dtf-printer-model-300b-dual-epson-printheads-cmyk-w,chatgpt.com,1,1,1,1,0
Sep 2025,/collections/replacement-and-spare-parts,chatgpt.com,1,1,1,1,0
Jun 2025,/collections/dtf-inks-t-shirts-hats,chatgpt.com,1,1,0,1,1
Oct 2025,/products/replacement-for-head-board-dtf,chatgpt.com,1,1,1,2,0
Oct 2025,/blogs/blog/best-heat-press-machines-for-all-your-needs-in-2025,chatgpt.com,1,2,0,2,0
Oct 2025,/pages/faq,chatgpt.com,1,1,1,1,0
Oct 2025,/products/dtf-moisturizing-liquid,chatgpt.com,1,1,1,1,0
Jun 2025,/products/replacement-5x3mm-4-colors-ink-tube,chatgpt.com,1,1,1,1,1
Oct 2025,/products/dtfprinterusa-a3-dtf-printer-model-300b-dual-epson-printheads-cmyk-w,chatgpt.com,1,1,1,1,0
Oct 2025,/collections/heat-presses,chatgpt.com,1,1,1,1,0
Nov 2025,/blogs/blog/best-heat-press-machines-for-all-your-needs-in-2025,chatgpt.com,1,1,1,1,0
Jun 2025,/products/dtf-printer-usa-dpu24-4-bundle-with-dryer,chatgpt.com,1,1,0,1,1
Nov 2025,/blogs/blog/dtf-printing-stretch-test-for-performance-wear-durability,gemini.google.com,1,1,1,1,0
Nov 2025,/products/dtf-moisturizing-liquid,chatgpt.com,1,1,1,1,0
Nov 2025,/collections/uv-dtf-printer,chatgpt.com,1,1,1,1,0
Nov 2025,/products/uv-dpu24-4-printer-24-copy,chatgpt.com,1,1,1,1,0
Jun 2025,/pages/set-up-service,chatgpt.com,1,1,0,1,1
Nov 2025,/collections/new-products,chatgpt.com,1,1,1,1,0
Dec 2025,/collections/replacement-and-spare-parts,chatgpt.com,1,1,1,1,0
Jun 2025,/collections/dtf-printer,chatgpt.com,1,1,0,1,1
Dec 2025,/blogs/blog/best-dtf-printer-for-small-business,chatgpt.com,1,1,1,1,0
Dec 2025,/products/dtfprinterusa-q1904-1-9m-high-speed-sublimation-printer-4x-i3200-a1-heads,chatgpt.com,1,1,1,1,0
Dec 2025,/blogs/blog/dtf-supplies-inks-films-powders-equipment-you-actually-need,chatgpt.com,1,1,1,1,0
Dec 2025,/products/double-matte-smart-peel-24x328-feet,chatgpt.com,1,1,1,1,0
Dec 2025,/products/pneumatic-single-station-hat-heat-press-machine-model-gs-mz1,chatgpt.com,1,1,1,1,0
Dec 2025,/blogs/blog/7-creative-ways-to-make-money-with-your-dtf-printer,chatgpt.com,1,1,1,1,0
Dec 2025,/products/replacement-print-head-i3200,chatgpt.com,1,1,1,1,0
May 2025,/products/hdh2022-hydraulic-head-moving-heat-press-16x24-inch,chatgpt.com,1,1,0,1,1
Dec 2025,/products/replacement-ink-valve-connector,chatgpt.com,1,1,1,1,0
Dec 2025,/products/fully-automatic-turntable-6-station-heat-press-machine-model-gs-qd6-size-50-60-cm,chatgpt.com,1,1,1,1,0
Dec 2025,/products/uv-dtf-printer-usa-varnish-ink-1-liter,chatgpt.com,1,1,1,1,0
Dec 2025,/products/hdh2022-hydraulic-head-moving-heat-press-16x24-inch,chatgpt.com,1,1,1,1,0
Dec 2025,/products/ultra-premium-hot-peel-24x328-feet,chatgpt.com,1,1,1,1,0
Dec 2025,/products/uv-dtf-film-a-b-60,chatgpt.com,1,1,0,1,0
Jan 2026,/products/dtf-printer-usa-dpu24-4-bundle-with-dryer,gemini.google.com,1,1,1,1,0
Jan 2026,/products/premium-single-matte-hot-peel-24x328-feet,chatgpt.com,1,1,1,1,0
Jan 2026,/products/replacement-wiper,chatgpt.com,1,1,1,1,0
May 2025,/blogs/blog/dtf-transfer-powders-types-quality-effects,cn.bing.com,1,1,1,1,1
May 2025,/products/uv-dtf-film-a-b-30,chatgpt.com,1,1,1,1,1
Jan 2026,/products/dtfprinterusa-q1904-1-9m-high-speed-sublimation-printer-4x-i3200-a1-heads,chatgpt.com,1,1,1,1,0
Apr 2025,/products/uv-dpu24-4-printer-24-copy,chatgpt.com,1,1,0,1,1
Jan 2026,/pages/about-dtf-printer-usa,copilot.com,1,1,1,1,0
Jan 2026,/blogs/blog/best-heat-press-machines-for-all-your-needs-in-2025,chatgpt.com,1,1,1,1,0
Jan 2026,/blogs/blog/preventative-maintenance-routine-dtf-print-head,chatgpt.com,1,1,1,1,0
Jan 2026,/collections/replacement-and-spare-parts,chatgpt.com,1,1,1,1,0
Jan 2026,/products/premium-double-matte-hot-peel-24x328-feet,chatgpt.com,1,1,1,1,0
Jan 2026,/blogs/blog/guide-dtf-printer-for-beginners-and-for-small-businesses,perplexity,1,1,1,1,0
Jan 2026,/collections/heat-presses,perplexity,1,1,1,1,0
Feb 2026,/products/dtfprinterusa-uv-flatbed-inkjet-printer-epson-i3200-head-multicolor-printing,chatgpt.com,1,1,1,1,0
Feb 2026,/blogs/blog/best-heat-press-machines-for-all-your-needs-in-2025,perplexity,1,1,1,1,0
Feb 2026,/products/double-matte-smart-peel-12x328-feet,chatgpt.com,1,1,1,1,0
Feb 2026,/products/dtf-dpu24-5-head-printer-24,chatgpt.com,1,1,1,1,0
Feb 2026,/blogs/blog/financial-guide-second-dtf-printer,chatgpt.com,1,1,1,1,0
Apr 2025,/collections/uv-dtf-printer,chatgpt.com,1,1,1,1,1
Feb 2026,/products/dtfprinterusa-a3-dtf-printer-model-300b-dual-epson-printheads-cmyk-w,chatgpt.com,1,1,1,1,0
Feb 2026,/products/single-head-15-needle-embroidery-machine-cap-support,chatgpt.com,1,1,1,1,0
Feb 2026,/collections/1-lt-batch-uv-ink,chatgpt.com,1,1,1,1,0
Feb 2026,/products/16x20-pneumatic-heat-press-machine-dual-platens,chatgpt.com,1,1,1,1,0
Feb 2026,/products/4-head-15-needle-commercial-embroidery-machine,chatgpt.com,1,1,1,1,0
Feb 2026,/products/24-inch-dtf-printer-5-epson-i3200-printheads,perplexity,1,1,1,1,0
Feb 2026,/products/dtf-strong-cleaning-solution,chatgpt.com,1,1,1,1,0
Feb 2026,/collections/dtf-printer-set-up-service,chatgpt.com,1,1,1,1,0
Feb 2026,/,claude.ai,1,1,1,1,0
Feb 2026,/blogs/blog/future-of-dtf-printing-2030,copilot.com,1,1,1,1,0
Feb 2026,/products/replacement-white-ink-filter,chatgpt.com,1,1,1,1,0
Feb 2026,/products/24-inch-dtf-printer-4-epson-i3200-printheads,perplexity,1,1,1,1,0
Feb 2026,/products/replacement-main-board-dtf,chatgpt.com,1,1,1,2,0
Feb 2026,/products/60x90cm-uv-flatbed-printer-3-epson-i3200-printheads,chatgpt.com,1,1,1,1,0
Feb 2026,/products/dtf-moisturizing-liquid,chatgpt.com,1,1,1,1,0
Mar 2026,/blogs/blog/anatomy-of-a-dtf-printer,chatgpt.com,1,1,1,1,0
Mar 2026,/blogs/blog/dtf-vs-dtg-printing,chatgpt.com,1,1,1,1,0
Mar 2026,/products/12-inch-uv-embossing-printer-epson-dx7-printhead-embroidery-effect,chatgpt.com,1,1,1,1,0
Mar 2026,/products/uv-dtf-printer-usa-black-ink-1-liter,chatgpt.com,1,1,1,1,0
Mar 2026,/products/1-lt-batch-dtf-ink,chatgpt.com,1,1,1,1,0
Mar 2026,/blogs/blog/how-to-print-t-shirts-with-a-dtf-printer,copilot.com,1,1,1,1,0
Mar 2026,/products/replacement-wiper,copilot.com,1,1,1,1,0
Mar 2026,/products/dtf-strong-cleaning-solution,chatgpt.com,1,1,1,1,0
Mar 2026,/blogs/blog/best-heat-press-machines-for-all-your-needs-in-2025,claude.ai,1,1,1,1,0
Mar 2026,/products/single-head-15-needle-embroidery-machine-cap-support,perplexity,1,1,1,1,0
Mar 2026,/products/replacement-y-shape-ink-tube-connector,chatgpt.com,1,1,1,1,0
Mar 2026,/products/dtf-direct-to-film-24-x-328ft-glitter-film-for-high-quality-transfers,chatgpt.com,1,2,0,2,0
Mar 2026,/products/75-inch-sublimation-printer-4-epson-i3200-printheads,chatgpt.com,1,1,1,1,0
Mar 2026,/blogs/blog/dtf-printing-stretch-test-for-performance-wear-durability,gemini.google.com,1,1,1,1,0
Mar 2026,/products/12-inch-triple-head-uv-dtf-printer-small,chatgpt.com,1,1,1,1,0
Mar 2026,/products/replacement-24v10a-power-supply,chatgpt.com,1,1,1,1,0
Mar 2026,/collections,chatgpt.com,1,1,0,2,2
Apr 2026,/products/24-inch-dtf-powder-shaker-dryer-high-power,chatgpt.com,1,2,0,2,0
Apr 2026,/blogs/blog/dtf-powder-shaker-pros-cons,chatgpt.com,1,1,1,1,0
Apr 2026,/blogs/blog/dtf-supplies-inks-films-powders-equipment-you-actually-need,chatgpt.com,1,1,1,1,0
Apr 2026,/products/24-inch-automatic-dtf-powder-shaker-dryer,gemini.google.com,1,1,1,1,0
Apr 2026,/products/replacement-main-board-dtf,chatgpt.com,1,1,1,1,0
Apr 2026,/collections/heat-presses,chatgpt.com,1,1,1,1,0
Jul 2025,/collections/new-products,gemini.google.com,1,1,0,2,2
May 2025,/products/hdh2022-hydraulic-head-moving-heat-press,chatgpt.com,1,1,0,2,2
Apr 2026,/blogs/blog/dtf-supplies-inks-films-powders-equipment-you-actually-need,copilot.com,1,1,1,1,0
Apr 2026,/products/12-inch-triple-head-uv-dtf-printer-small,chatgpt.com,1,1,1,1,0
Apr 2026,/blogs/blog/dtf-printing-stretch-test-for-performance-wear-durability,chatgpt.com,1,1,1,1,0
Apr 2026,/blogs/blog/top-5-reasons-why-dtf-printing-is-perfect-for-small-businesses,chatgpt.com,1,1,1,1,0
Apr 2026,/collections/embroidery-machines,chatgpt.com,1,1,1,1,0
Apr 2026,/blogs/blog/anatomy-of-a-dtf-printer,gemini.google.com,1,1,1,1,0
Apr 2026,/products/24-inch-uv-printer-3-epson-i3200-printheads,chatgpt.com,1,1,1,1,0
Apr 2026,/collections/replacement-and-spare-parts,copilot.com,1,1,1,1,0
Jul 2025,/blogs/blog,chatgpt.com,1,2,0,2,1
Jul 2025,/,gemini.google.com,0,1,0,1,1
Dec 2025,/collections/heat-presses,chatgpt.com,0,1,0,1,1
May 2025,/blogs/dtf-business/2024-guide-dtf-printer-for-beginners-dtf-printers-for-small-businesses,chatgpt.com,0,1,0,1,0
Aug 2025,/search,chatgpt.com,0,1,0,1,0
Dec 2025,/collections/replacement-and-spare-parts,gemini.google.com,0,1,1,1,0
Mar 2026,/products/24-inch-eco-dtf-dryer-powder-shaker-efficient,chatgpt.com,0,1,0,1,0
