Date (Year Month),Page path and screen class,Session source,Views,Total users,New users,Sessions,Engaged sessions
Jul 2025,/collections/dtf-printers-and-dryers,chatgpt.com,5,4,0,4,4
Dec 2025,/blogs/blog/best-heat-press-machines-for-all-your-needs-in-2025,chatgpt.com,5,5,4,5,0
Apr 2026,/products/24-inch-dtf-printer-5-epson-i3200-printheads,chatgpt.com,5,5,4,5,3
Aug 2025,/products/dtf-white-ink-1-liter,chatgpt.com,5,3,2,3,1
Apr 2026,/products/automatic-bagging-packing-machine-for-apparel-fullfilment,chatgpt.com,5,5,4,6,3
Mar 2026,/products/24-inch-dtf-printer-5-epson-i3200-printheads,chatgpt.com,5,5,5,5,1
Apr 2026,/products/40x30cm-uv-flatbed-printer-dual-epson-i1600-printheads,chatgpt.com,5,5,3,6,3
Mar 2026,/collections/dtf-printing-supplies-sale,chatgpt.com,5,3,0,5,4
Apr 2026,/products/24-inch-dtf-printer-4-epson-i3200-printheads,chatgpt.com,4,4,3,4,1
Dec 2025,/collections/dtf-transfer-powders,chatgpt.com,4,2,0,2,2
Jan 2026,/products/dtfprinterusa-3d-embroidery-effect-dtf-printer-no-oven-needed-print-press,chatgpt.com,4,4,3,4,3
Apr 2025,/collections/heat-presses,chatgpt.com,4,3,0,3,1
Jun 2025,/products/replacement-white-and-color-damper,chatgpt.com,4,3,1,4,1
Mar 2026,/collections/dtf-transfer-powders,chatgpt.com,4,2,0,3,3
Jan 2026,/collections/dtf-film,chatgpt.com,4,4,0,4,3
Jan 2026,/collections/heat-presses,chatgpt.com,4,4,2,4,2
Aug 2025,/blogs/news/best-dtf-printer-for-small-business,chatgpt.com,4,5,4,5,0
Jul 2025,/pages/contact-us,chatgpt.com,4,2,0,2,2
Aug 2025,/cart,chatgpt.com,4,2,0,2,2
Mar 2026,/products/60x90cm-uv-flatbed-printer-3-epson-i3200-printheads,chatgpt.com,4,3,2,3,2
Dec 2025,/cart,chatgpt.com,4,1,0,1,1
Sep 2025,/products/dtfprinterusa-3d-embroidery-effect-dtf-printer-no-oven-needed-print-press,chatgpt.com,4,2,2,3,2
Dec 2025,/products/dtfprinterusa-a3-dtf-printer-model-300b-dual-epson-printheads-cmyk-w,chatgpt.com,4,3,2,3,2
Feb 2026,/products/dtf-printer-usa-dpu24-4-bundle-with-dryer,chatgpt.com,4,4,4,4,2
Mar 2026,/blogs/blog/best-heat-press-machines-for-all-your-needs-in-2025,chatgpt.com,4,4,3,4,1
Dec 2025,/blogs/blog/mistakes-to-avoid-when-buying-a-heat-press,chatgpt.com,4,3,2,3,1
Feb 2026,/products/24-inch-dtf-printer-5-epson-i3200-printheads,chatgpt.com,4,4,2,4,3
Sep 2025,/collections/dtf-film,chatgpt.com,4,2,0,2,2
Jul 2025,/collections/dtf-transfer-powders,chatgpt.com,4,1,0,1,1
Sep 2025,/blogs/news/best-dtf-printer-for-small-business,chatgpt.com,4,3,2,3,1
Dec 2025,/products/premium-double-matte-hot-peel-24x328-feet,chatgpt.com,4,3,0,3,2
Sep 2025,/products/dpu24-4-head-dtf-printer-24,chatgpt.com,4,3,2,3,1
Jun 2025,/products/dtf-strong-cleaning-solution,chatgpt.com,4,4,4,4,0
Mar 2026,/products/replacement-white-and-color-damper,chatgpt.com,4,2,2,2,1
Dec 2025,/products/a3-uv-flatbed,chatgpt.com,4,3,2,3,1
Mar 2026,/products/dtf-moisturizing-liquid,chatgpt.com,4,3,2,3,1
