Session default channel group,Active users,% Δ
Paid Search,5087,6.5586924219910845
Unassigned,3616,-0.17967332123411978
Direct,3075,-0.8069073783359497
Paid Social,2355,-0.12061239731142644
Cross-network,1420,0.6118047673098751
Organic Search,625,0.10424028268551237
Referral,416,0.5877862595419847
Organic Social,151,0.6777777777777778
Organic Shopping,108,0.04854368932038835
Paid Other,36,
Email,8,-0.8840579710144928
Organic Video,2,-0.75
