month,total_users,sessions,engaged_sessions,new_users,views
Apr 2025,2190,2329,1227,1144,2623
May 2025,2002,2132,1249,988,2458
Jun 2025,1971,2085,986,1132,2344
Jul 2025,2135,2283,1174,1071,2696
Aug 2025,4061,4195,1251,2823,4503
Sep 2025,4243,4393,1371,2969,4617
Oct 2025,2508,2655,1227,1487,2953
Nov 2025,1682,1800,1066,770,2006
Dec 2025,1639,1806,1097,706,2702
Jan 2026,1841,2055,1373,739,3072
Feb 2026,1617,1786,1175,679,2479
Mar 2026,1828,1971,1381,706,2455
Apr 2026,1917,2103,1497,721,2650
