channel,apr_cvr,mar_cvr,mom_delta_pp
baidu,0.0,0.0,0.0
bing,0.24,8.57,-8.33
duckduckgo,0.0,0.0,0.0
ecosia,0,0.0,0.0
google,2.39,3.19,-0.8
technorati,0,0,0
yahoo!,0.95,6.9,-5.95
yahoo! images,0.0,0.0,0.0
yandex,0.0,0.0,0.0
yellowpages,0,0,0
