Year month,Total users
Apr 2025,32108
May 2025,40452
Jun 2025,41616
Jul 2025,38221
Aug 2025,23556
Sep 2025,21312
Oct 2025,14402
Nov 2025,12218
Dec 2025,16221
Jan 2026,42507
Feb 2026,69516
Mar 2026,48972
Apr 2026,18992
