channel,apr_orders,mar_orders,mom_pct
baidu,0,0,0
bing,4,6,-33.3
duckduckgo,0,0,0
ecosia,0,0,0
google,80,80,0.0
technorati,0,0,0
yahoo!,2,2,0.0
yahoo! images,0,0,0
yandex,0,0,0
yellowpages,0,0,0
